Phone_Name,Price,User_Rating
Apple iPhone X (Space Gray- 64 GB),₹69,999,4.6
Apple iPhone XR (Black- 128 GB),₹64,999,4.6
Apple iPhone 6s (Rose Gold- 32 GB),₹29,799,4.5
Apple iPhone 6s (Gold- 32 GB),₹29,799,4.5
Apple iPhone 6s (Space Grey- 32 GB),₹29,490,4.5
Apple iPhone 8 Plus (Silver- 64 GB),₹59,900,4.6
Apple iPhone XR ((PRODUCT)RED- 64 GB),₹59,999,4.6
Apple iPhone XR (White- 64 GB),₹59,999,4.6
Apple iPhone XR (Black- 64 GB),₹59,999,4.6
Apple iPhone XR (White- 128 GB),₹64,999,4.6
Apple iPhone 6s Plus (Silver- 16 GB),₹39,976,4.4
Apple iPhone 8 Plus (Gold- 256 GB),₹62,999,4.6
Apple iPhone 8 (Silver- 64 GB),₹58,999,4.6
Apple iPhone X (Silver- 64 GB),₹68,799,4.6
Apple iPhone 8 Plus (Space Grey- 256 GB),₹62,999,4.6
Apple iPhone 6s (Silver- 32 GB),₹29,490,4.5
Apple iPhone 8 Plus (Silver- 256 GB),₹62,999,4.6
Apple iPhone 7 Plus (Rose Gold- 256 GB),₹92,000,4.6
Apple iPhone 8 Plus (PRODUCT)RED (Red- 256 GB),₹62,999,4.6
Apple iPhone 8 (Space Grey- 64 GB),₹58,999,4.6
Apple iPhone XR (Blue- 64 GB),₹59,799,4.6
Apple iPhone 8 Plus (Space Grey- 64 GB),₹61,490,4.6
Apple iPhone 8 (Gold- 64 GB),₹58,000,4.6
Apple iPhone 8 (PRODUCT)RED (Red- 64 GB),₹53,490,4.7
.7
